Wellfield,Date,WF_Pumpage,StdPumpage,PctOfCWUP,StdPctOfCWUP,RA Period
CYB,2021-01-01,10.730967741935483,1.8125991556118375,14.156403935456456,1.5448289212038233,RA Extended Period
CYB,2021-02-01,11.82214285714286,0.9917823728682938,14.6586380803039,1.305524139542014,RA Extended Period
CYB,2021-03-01,12.00290322580645,1.7434815619871957,13.769254335309547,1.6520794265876748,RA Extended Period
CYB,2021-04-01,8.362666666666666,2.376244404783388,10.362103008338387,2.239258585763396,RA Extended Period
CYB,2021-05-01,10.069677419354838,1.3155847467215704,9.819155596060707,1.4255871729065988,RA Extended Period
CYB,2021-06-01,7.779666666666666,1.8762921677741458,9.565805188680788,1.7538944691278375,RA Extended Period
CYB,2021-07-01,8.766774193548386,1.5724659765196294,9.760899844975608,1.2734564725380755,RA Extended Period
CYB,2021-08-01,8.585161290322578,3.418688706670778,9.471854050157127,1.7202314743126996,RA Extended Period
CYB,2021-09-01,13.785666666666666,2.0897759050513782,12.513591854252336,1.2816398601404868,RA Extended Period
CYB,2021-10-01,6.725161290322581,2.9439054230367043,8.38955967487607,3.367634398009827,RA Extended Period
CYB,2021-11-01,0.0,0.0,0.0,0.0,RA Extended Period
CYB,2021-12-01,4.613225806451613,4.286684334149783,5.529984161148811,4.923592789522386,RA Extended Period
CYB,2022-01-01,7.943548387096775,1.61766405327166,10.515129063752175,1.7126241620632006,RA Extended Period
CYB,2022-02-01,8.921428571428569,1.9926563590040793,11.248665683738185,2.049597379244815,RA Extended Period
CYB,2022-03-01,8.67677419354839,1.633902051525255,10.715828388419174,1.7229272226670191,RA Extended Period
CYB,2022-04-01,9.346,2.853536946221002,11.668036201845041,3.051949297688873,RA Extended Period
CYB,2022-05-01,10.357096774193549,1.6687304426786753,11.795609373265675,1.9995654116921986,RA Extended Period
CYB,2022-06-01,10.109666666666667,2.22348977546765,11.934281969876832,2.6773923898197327,RA Extended Period
CYB,2022-07-01,10.228387096774194,4.000308402089517,13.261793868495927,4.689158023259374,RA Extended Period
CYB,2022-08-01,12.162903225806454,1.1181329484111124,15.559361632551365,0.9614023796161468,RA Extended Period
CYB,2022-09-01,10.358333333333336,2.3671401096788838,14.71735942006344,2.8128165717525144,RA Extended Period
CYB,2022-10-01,9.3,1.330806772851218,12.11472933989125,1.900748685030052,RA Extended Period
CYB,2022-11-01,7.086333333333331,3.440604881997206,9.672224411944688,4.096875158908664,RA Extended Period
CYB,2022-12-01,3.5699999999999994,3.2613054645852073,5.441902635691868,4.854396093192428,RA Extended Period
CYB,2023-01-01,5.215483870967742,3.6296417074872798,7.919924523935843,5.023522280811314,RA Extended Period
CYB,2023-02-01,7.21357142857143,2.0130044144230688,10.336790396225203,2.4719896114129165,RA Extended Period
CYB,2023-03-01,14.73193548387097,2.5565359627887565,14.004361929211516,2.0740944683859524,RA Extended Period
CYB,2023-04-01,15.58066666666667,1.0306741460821898,13.262824510480304,1.2122139716349822,RA Extended Period
CYB,2023-05-01,16.868387096774192,1.5172652960160486,13.404536240586062,1.1680797056142544,RA Extended Period
CYB,2023-06-01,12.142666666666665,2.4215539800221206,12.373894451252534,2.0578068960251077,RA Extended Period
CYB,2023-07-01,12.742903225806453,3.039426693252502,12.23921319110996,1.921613726246806,RA Extended Period
CYB,2023-08-01,8.449354838709679,2.1729640823598024,10.079270743323045,2.5111050045171464,RA Extended Period
CYB,2023-09-01,9.969333333333331,2.274137856090919,10.947124092226353,2.3311868159347107,RA Extended Period
CYC,2006-10-01,12.967096774193548,2.2022536843703127,11.823233829179413,1.6533058603920445,
CYC,2006-11-01,15.816,6.219863952387298,14.119310375633042,3.071810113548659,
CYC,2006-12-01,13.272258064516125,3.3692518553109445,12.900086700988949,2.625207223434676,
CYC,2007-01-01,17.1358064516129,7.758977928478964,16.343904130206937,4.155642075617296,
