PointName,SCADAName,Date,AnnAvgPP
CBR005,CB-05,2023-01-01,0.13864468864468865
CBR006,CB-06,2006-01-01,0.6220652173913045
CBR006,CB-06,2007-01-01,0.5118082191780822
CBR006,CB-06,2008-01-01,0.33650273224043725
CBR006,CB-06,2009-01-01,0.3256438356164384
CBR006,CB-06,2010-01-01,0.11134246575342462
CBR006,CB-06,2011-01-01,0.1642191780821918
CBR006,CB-06,2012-01-01,0.19999999999999993
CBR006,CB-06,2013-01-01,0.522712328767123
CBR006,CB-06,2014-01-01,0.35268493150684926
CBR006,CB-06,2015-01-01,0.6689315068493149
CBR006,CB-06,2016-01-01,0.4797540983606559
CBR006,CB-06,2017-01-01,0.07736986301369862
CBR006,CB-06,2018-01-01,0.0029315068493150688
CBR006,CB-06,2019-01-01,0.004383561643835617
CBR006,CB-06,2020-01-01,0.001174863387978142
CBR006,CB-06,2021-01-01,0
CBR006,CB-06,2022-01-01,0.0009041095890410959
CBR006,CB-06,2023-01-01,0.000695970695970696
CBR007,CB-07,2006-01-01,0.39054347826086955
CBR007,CB-07,2007-01-01,0.43435616438356156
CBR007,CB-07,2008-01-01,0.3597540983606558
CBR007,CB-07,2009-01-01,0.36000000000000004
CBR007,CB-07,2010-01-01,0.08545205479452055
CBR007,CB-07,2011-01-01,0.12060273972602739
CBR007,CB-07,2012-01-01,0.11265027322404372
CBR007,CB-07,2013-01-01,0.07547945205479449
CBR007,CB-07,2014-01-01,0.04627397260273973
CBR007,CB-07,2015-01-01,0.02772602739726027
CBR007,CB-07,2016-01-01,0.041639344262295076
CBR007,CB-07,2017-01-01,0.01780821917808219
CBR007,CB-07,2018-01-01,0.010493150684931505
CBR007,CB-07,2019-01-01,0.014273972602739726
CBR007,CB-07,2020-01-01,0.019398907103825136
CBR007,CB-07,2021-01-01,0.022794520547945202
CBR007,CB-07,2022-01-01,0.009095890410958903
CBR007,CB-07,2023-01-01,0.0017216117216117216
CBR008,CB-08,2006-01-01,0.3314130434782609
CBR008,CB-08,2007-01-01,0.3613424657534249
CBR008,CB-08,2008-01-01,0.2656284153005464
CBR008,CB-08,2009-01-01,0.20049315068493154
CBR008,CB-08,2010-01-01,0.06243835616438357
CBR008,CB-08,2011-01-01,0.0999178082191781
CBR008,CB-08,2012-01-01,0.1865027322404371
CBR008,CB-08,2013-01-01,0.09613698630136985
CBR008,CB-08,2014-01-01,0.03624657534246575
CBR008,CB-08,2015-01-01,0.07876712328767123
CBR008,CB-08,2016-01-01,0.02046448087431694
CBR008,CB-08,2017-01-01,0.009534246575342466
CBR008,CB-08,2018-01-01,0.005972602739726027
CBR008,CB-08,2019-01-01,0.01413698630136986
CBR008,CB-08,2020-01-01,0.0006010928961748635
CBR008,CB-08,2021-01-01,0.012958904109589034
CBR008,CB-08,2022-01-01,0.021205479452054792
CBR008,CB-08,2023-01-01,0.0004761904761904762
CBR009,CB-09,2006-01-01,0.3575
CBR009,CB-09,2007-01-01,0.4247671232876712
CBR009,CB-09,2008-01-01,0.41431693989071067
CBR009,CB-09,2009-01-01,0.4763287671232874
CBR009,CB-09,2010-01-01,0.14556164383561646
CBR009,CB-09,2011-01-01,0.2115068493150685
CBR009,CB-09,2012-01-01,0.25166666666666665
CBR009,CB-09,2013-01-01,0.15684931506849314
CBR009,CB-09,2014-01-01,0.17657534246575343
CBR009,CB-09,2015-01-01,0.11786301369863014
CBR009,CB-09,2016-01-01,0.09221311475409838
CBR009,CB-09,2017-01-01,0.09561643835616437
CBR009,CB-09,2018-01-01,0.015561643835616437
CBR009,CB-09,2019-01-01,0.03887671232876712
CBR009,CB-09,2020-01-01,0.006830601092896174
CBR009,CB-09,2021-01-01,0.2545753424657534
CBR009,CB-09,2022-01-01,0.6801643835616435
CBR009,CB-09,2023-01-01,0.9749450549450552
CBR010,CB-10,2006-01-01,0.33891304347826084
CBR010,CB-10,2007-01-01,0.5179726027397257
CBR010,CB-10,2008-01-01,0.4350819672131147
CBR010,CB-10,2009-01-01,0.3927671232876713
CBR010,CB-10,2010-01-01,0.34879452054794524
CBR010,CB-10,2011-01-01,0.28591780821917806
CBR010,CB-10,2012-01-01,0.48953551912568316
CBR010,CB-10,2013-01-01,0.45213698630136995
CBR010,CB-10,2014-01-01,0.39747945205479446
CBR010,CB-10,2015-01-01,0.45547945205479445
CBR010,CB-10,2016-01-01,0.0989071038251366
CBR010,CB-10,2017-01-01,0.020630136986301374
CBR010,CB-10,2018-01-01,0.01115068493150685
CBR010,CB-10,2019-01-01,0.16528767123287677
CBR010,CB-10,2020-01-01,0.23404371584699457
CBR010,CB-10,2021-01-01,0.09386301369863013
CBR010,CB-10,2022-01-01,0.060438356164383575
CBR010,CB-10,2023-01-01,0.0010256410256410256
CBR011,CB-11,2006-01-01,1.4434782608695653
CBR011,CB-11,2007-01-01,1.1589589041095876
CBR011,CB-11,2008-01-01,1.1799453551912567
CBR011,CB-11,2009-01-01,1.365972602739726
CBR011,CB-11,2010-01-01,1.184219178082192
CBR011,CB-11,2011-01-01,1.3515342465753424
CBR011,CB-11,2012-01-01,1.2724863387978145
CBR011,CB-11,2013-01-01,1.5184931506849308
CBR011,CB-11,2014-01-01,1.7090958904109599
CBR011,CB-11,2015-01-01,2.4081369863013697
CBR011,CB-11,2016-01-01,1.0051366120218581
CBR011,CB-11,2017-01-01,0.8733424657534246
CBR011,CB-11,2018-01-01,0.9507123287671233
CBR011,CB-11,2019-01-01,2.9237534246575336
CBR011,CB-11,2020-01-01,1.95707650273224
CBR011,CB-11,2021-01-01,1.4295890410958902
CBR011,CB-11,2022-01-01,0.1519999999999999
CBR011,CB-11,2023-01-01,0.6645787545787548
CBR012,CB-12,2006-01-01,0.4932608695652174
CBR012,CB-12,2007-01-01,1.0069315068493152
CBR012,CB-12,2008-01-01,1.169371584699454
CBR012,CB-12,2009-01-01,1.3060547945205467
CBR012,CB-12,2010-01-01,0.9714520547945205
CBR012,CB-12,2011-01-01,1.0881095890410961
CBR012,CB-12,2012-01-01,1.1278688524590175
CBR012,CB-12,2013-01-01,0.13632876712328768
CBR012,CB-12,2014-01-01,0.09230136986301365
CBR012,CB-12,2015-01-01,0.330958904109589
CBR012,CB-12,2016-01-01,0.6639071038251363
CBR012,CB-12,2017-01-01,1.8513150684931508
CBR012,CB-12,2018-01-01,0.9923561643835618
CBR012,CB-12,2019-01-01,1.3425753424657532
CBR012,CB-12,2020-01-01,0.5775409836065571
CBR012,CB-12,2021-01-01,0.5888493150684934
CBR012,CB-12,2022-01-01,0.9248767123287672
CBR012,CB-12,2023-01-01,2.451391941391941
CBR013,CB-13,2006-01-01,1.389239130434782
CBR013,CB-13,2007-01-01,1.1598630136986294
CBR013,CB-13,2008-01-01,0.9498087431693988
CBR013,CB-13,2009-01-01,1.2121917808219171
CBR013,CB-13,2010-01-01,0.6610684931506848
CBR013,CB-13,2011-01-01,0.6728493150684929
CBR013,CB-13,2012-01-01,1.2310109289617486
CBR013,CB-13,2013-01-01,1.2911506849315075
CBR013,CB-13,2014-01-01,0.6593150684931508
CBR013,CB-13,2015-01-01,1.2741643835616434
CBR013,CB-13,2016-01-01,1.665218579234973
CBR013,CB-13,2017-01-01,2.609150684931508
